iter	Passed	Remaining
881	1688	225
882	1690	224
883	1693	222
884	1694	220
885	1696	218
886	1698	216
887	1700	214
888	1701	212
889	1703	210
890	1704	208
891	1706	206
892	1707	204
893	1709	202
894	1711	200
895	1713	198
896	1715	196
897	1717	195
898	1718	193
899	1720	191
900	1721	189
901	1724	187
902	1726	185
903	1728	183
904	1730	181
905	1731	179
906	1733	177
907	1735	175
908	1736	173
909	1738	171
910	1740	170
911	1742	168
912	1744	166
913	1746	164
914	1747	162
915	1749	160
916	1751	158
917	1752	156
918	1754	154
919	1756	152
920	1758	150
921	1760	148
922	1762	147
923	1763	145
924	1765	143
925	1767	141
926	1769	139
927	1771	137
928	1773	135
929	1775	133
930	1777	131
931	1778	129
932	1780	127
933	1782	125
934	1784	124
935	1786	122
936	1787	120
937	1789	118
938	1791	116
939	1793	114
940	1795	112
941	1797	110
942	1799	108
943	1801	106
944	1802	104
945	1804	103
946	1807	101
947	1808	99
948	1810	97
949	1812	95
950	1814	93
951	1816	91
952	1817	89
953	1819	87
954	1821	85
955	1823	83
956	1825	82
957	1827	80
958	1829	78
959	1831	76
960	1832	74
961	1834	72
962	1836	70
963	1838	68
964	1839	66
965	1841	64
966	1842	62
967	1844	60
968	1846	59
969	1848	57
970	1849	55
971	1851	53
972	1853	51
973	1854	49
974	1856	47
975	1858	45
976	1859	43
977	1861	41
978	1863	39
979	1865	38
980	1866	36
981	1868	34
982	1871	32
983	1872	30
984	1874	28
985	1876	26
986	1877	24
987	1879	22
988	1881	20
989	1883	19
990	1884	17
991	1886	15
992	1888	13
993	1890	11
994	1891	9
995	1893	7
996	1895	5
997	1896	3
998	1898	1
999	1900	0
